fecha,region,producto,precio,marketing,clientes_web,clientes_tienda,ventas
2018-01-01,Centro,B,49.81,152.82,201,139,62.9
2018-01-02,Occidente,B,62.07,66.04,194,105,96.8
2018-01-03,Norte,D,56.25,75.74,214,131,75.6
2018-01-04,Centro,A,41.95,27.81,216,93,131.6
2018-01-05,Centro,C,67.87,225.13,173,109,191.4
2018-01-06,Occidente,C,34.64,317.85,201,119,152.1
2018-01-07,Norte,D,52.76,106.32,212,120,49.2
2018-01-08,Norte,D,41.77,16.45,212,94,98.5
2018-01-09,Centro,C,35.13,76.46,193,144,179.8
2018-01-10,Sur,C,38.66,36.02,207,127,156.3
2018-01-11,Centro,A,49.51,59.94,209,134,112.0
2018-01-12,Centro,D,53.5,112.25,206,104,80.6
2018-01-13,Centro,A,60.59,7.33,187,105,-20.7
2018-01-14,Centro,D,64.76,22.73,188,132,195.4
2018-01-15,Occidente,D,52.78,138.58,181,108,120.8
2018-01-16,Norte,A,45.57,3.89,209,141,115.2
2018-01-17,Occidente,B,60.39,92.1,173,123,143.9
2018-01-18,Occidente,B,43.85,31.1,195,103,86.2
2018-01-19,Occidente,B,34.04,232.78,173,122,140.6
2018-01-20,Centro,D,59.39,179.04,209,124,98.0
2018-01-21,Sur,A,63.24,251.75,220,129,171.6
2018-01-22,Norte,B,41.78,9.86,211,100,114.7
2018-01-23,Sur,C,69.61,524.33,201,129,201.6
2018-01-24,Occidente,B,55.83,15.49,188,126,63.6
2018-01-25,Occidente,A,54.34,204.12,190,118,94.7
2018-01-26,Sur,D,44.83,47.16,206,126,13.3
2018-01-27,Sur,A,60.17,310.34,221,121,186.9
2018-01-28,Sur,D,34.76,0.1,201,125,136.7
2018-01-29,Occidente,A,46.6,116.85,219,114,74.2
2018-01-30,Occidente,A,42.67,543.96,204,95,276.8
2018-01-31,Norte,C,36.91,118.37,225,129,19.4
2018-02-01,Norte,B,58.63,122.6,198,119,73.5
2018-02-02,Occidente,B,53.41,110.04,176,119,148.6
2018-02-03,Sur,A,58.05,388.11,199,107,238.6
2018-02-04,Sur,B,47.22,126.45,187,101,93.8
2018-02-05,Norte,C,59.85,68.7,195,126,76.8
2018-02-06,Occidente,A,50.77,28.47,215,121,168.6
2018-02-07,Norte,B,45.28,150.06,199,122,121.5
2018-02-08,Norte,B,43.61,17.56,190,119,105.4
2018-02-09,Centro,D,30.17,6.41,200,112,36.5
2018-02-10,Centro,B,61.64,144.02,199,124,111.6
2018-02-11,Centro,B,60.51,46.02,196,98,117.6
2018-02-12,Sur,D,79.27,23.85,224,129,57.2
2018-02-13,Occidente,A,46.65,145.65,228,128,109.3
2018-02-14,Occidente,A,43.33,202.22,210,133,106.6
2018-02-15,Occidente,C,32.99,11.15,205,135,44.9
2018-02-16,Occidente,D,59.6,53.61,184,122,23.6
2018-02-17,Centro,A,57.3,2.4,196,143,109.6
2018-02-18,Sur,B,65.52,175.83,196,108,117.0
2018-02-19,Sur,B,40.83,0.82,211,120,21.8
2018-02-20,Centro,B,57.16,49.51,193,131,91.5
2018-02-21,Sur,C,44.78,233.04,200,116,89.1
2018-02-22,Centro,A,63.44,87.56,184,120,136.5
2018-02-23,Occidente,D,55.36,162.37,178,119,121.2
2018-02-24,Centro,A,34.44,14.5,199,121,89.1
2018-02-25,Occidente,D,48.69,12.18,187,118,53.6
2018-02-26,Occidente,D,30.52,43.76,209,113,159.3
2018-02-27,Norte,A,38.37,111.81,195,123,111.6
2018-02-28,Centro,B,38.97,17.83,191,126,12.1
2018-03-01,Norte,B,43.59,6.78,207,136,88.0
2018-03-02,Centro,D,47.37,372.26,198,144,185.4
2018-03-03,Centro,B,51.65,34.36,198,116,73.6
2018-03-04,Norte,C,51.15,97.92,184,122,129.2
2018-03-05,Norte,C,49.76,107.75,194,113,64.0
2018-03-06,Centro,D,53.32,3.94,195,116,74.5
2018-03-07,Sur,B,37.5,83.45,162,122,127.7
2018-03-08,Occidente,D,50.73,22.35,203,116,84.1
