fecha,region,producto,precio,marketing,clientes_web,clientes_tienda,ventas
2020-01-01,Centro,B,49.81,152.82,201,139,7662.79
2020-01-02,Occidente,B,62.07,66.04,194,105,8202.03
2020-01-03,Norte,D,56.25,75.74,214,131,8675.24
2020-01-04,Centro,A,41.95,27.81,216,93,5658.82
2020-01-05,Centro,C,67.87,225.13,173,109,9002.04
2020-01-06,Occidente,C,34.64,317.85,201,119,5062.83
2020-01-07,Norte,D,52.76,106.32,212,120,7580.69
2020-01-08,Norte,D,41.77,16.45,212,94,5492.47
2020-01-09,Centro,C,35.13,76.46,193,144,5929.13
2020-01-10,Sur,C,38.66,36.02,207,127,6124.12
2020-01-11,Centro,A,49.51,59.94,209,134,7820.45
2020-01-12,Centro,D,53.5,112.25,206,104,7132.62
2020-01-13,Centro,A,60.59,7.33,187,105,7458.13
2020-01-14,Centro,D,64.76,22.73,188,132,10068.39
2020-01-15,Occidente,D,52.78,138.58,181,108,6947.91
2020-01-16,Norte,A,45.57,3.89,209,141,7478.52
2020-01-17,Occidente,B,60.39,92.1,173,123,8535.49
2020-01-18,Occidente,B,43.85,31.1,195,103,5759.01
2020-01-19,Occidente,B,34.04,232.78,173,122,4796.23
2020-01-20,Centro,D,59.39,179.04,209,124,8807.72
2020-01-21,Sur,A,63.24,251.75,220,129,10039.47
2020-01-22,Norte,B,41.78,9.86,211,100,5722.06
2020-01-23,Sur,C,69.61,524.33,201,129,10574.94
2020-01-24,Occidente,B,55.83,15.49,188,126,7998.19
2020-01-25,Occidente,A,54.34,204.12,190,118,7510.06
2020-01-26,Sur,D,44.83,47.16,206,126,6425.2
2020-01-27,Sur,A,60.17,310.34,221,121,9270.24
2020-01-28,Sur,D,34.76,0.1,201,125,5381.71
2020-01-29,Occidente,A,46.6,116.85,219,114,6673.13
2020-01-30,Occidente,A,42.67,543.96,204,95,5884.92
2020-01-31,Norte,C,36.91,118.37,225,129,5491.69
2020-02-01,Norte,B,58.63,122.6,198,119,8250.53
2020-02-02,Occidente,B,53.41,110.04,176,119,7486.39
2020-02-03,Sur,A,58.05,388.11,199,107,8181.98
2020-02-04,Sur,B,47.22,126.45,187,101,5987.27
2020-02-05,Norte,C,59.85,68.7,195,126,8710.53
2020-02-06,Occidente,A,50.77,28.47,215,121,7899.52
2020-02-07,Norte,B,45.28,150.06,199,122,6639.92
2020-02-08,Norte,B,43.61,17.56,190,119,6228.16
2020-02-09,Centro,D,30.17,6.41,200,112,4031.24
2020-02-10,Centro,B,61.64,144.02,199,124,9043.61
2020-02-11,Centro,B,60.51,46.02,196,98,7839.39
2020-02-12,Sur,D,79.27,23.85,224,129,12319.47
2020-02-13,Occidente,A,46.65,145.65,228,128,7365.25
2020-02-14,Occidente,A,43.33,202.22,210,133,6722.24
2020-02-15,Occidente,C,32.99,11.15,205,135,5006.7
2020-02-16,Occidente,D,59.6,53.61,184,122,8120.24
2020-02-17,Centro,A,57.3,2.4,196,143,9201.58
2020-02-18,Sur,B,65.52,175.83,196,108,8828.86
2020-02-19,Sur,B,40.83,0.82,211,120,5787.09
2020-02-20,Centro,B,57.16,49.51,193,131,8554.78
2020-02-21,Sur,C,44.78,233.04,200,116,6209.47
2020-02-22,Centro,A,63.44,87.56,184,120,8996.26
2020-02-23,Occidente,D,55.36,162.37,178,119,7634.95
2020-02-24,Centro,A,34.44,14.5,199,121,5022.17
2020-02-25,Occidente,D,48.69,12.18,187,118,6656.65
2020-02-26,Occidente,D,30.52,43.76,209,113,4639.96
2020-02-27,Norte,A,38.37,111.81,195,123,5616.12
2020-02-28,Centro,B,38.97,17.83,191,126,5405.72
2020-02-29,Norte,B,43.59,6.78,207,136,6877.06
2020-03-01,Centro,D,47.37,372.26,198,144,7739.44
2020-03-02,Centro,B,51.65,34.36,198,116,7218.96
2020-03-03,Norte,C,51.15,97.92,184,122,7333.61
2020-03-04,Norte,C,49.76,107.75,194,113,6707.22
2020-03-05,Centro,D,53.32,3.94,195,116,7431.4
2020-03-06,Sur,B,37.5,83.45,162,122,5205.04
2020-03-07,Occidente,D,50.73,22.35,203,116,7213.59
2020-03-08,Norte,C,64.34,9.42,202,131,10245.63
2020-03-09,Occidente,C,48.34,50.57,205,118,6620.02
2020-03-10,Sur,C,54.95,157.43,176,118,7778.58
2020-03-11,Sur,A,54.02,347.56,209,109,7710.5
2020-03-12,Sur,C,58.62,68.33,205,122,8292.69
2020-03-13,Norte,B,52.87,218.47,190,110,7270.73
2020-03-14,Sur,A,58.45,290.38,193,112,8343.65
2020-03-15,Norte,C,55.07,58.51,209,116,8042.51
2020-03-16,Sur,B,56.57,15.71,214,103,7848.52
2020-03-17,Occidente,C,54.42,37.12,220,115,7865.57
2020-03-18,Occidente,B,39.93,49.03,208,107,5353.84
2020-03-19,Centro,B,38.29,60.61,198,131,5915.0
2020-03-20,Occidente,C,46.47,103.47,201,106,6248.65
2020-03-21,Centro,C,65.52,103.62,209,122,9727.47
2020-03-22,Occidente,A,48.28,78.36,225,121,7301.36
2020-03-23,Norte,C,53.1,25.92,214,114,7599.48
2020-03-24,Occidente,B,30.33,45.17,221,115,4149.5
2020-03-25,Centro,D,51.94,53.35,217,136,8542.14
2020-03-26,Centro,A,50.86,108.98,199,139,7929.5
2020-03-27,Sur,B,23.27,15.25,206,114,3086.87
2020-03-28,Norte,B,52.91,27.66,190,115,7088.6
2020-03-29,Occidente,D,33.49,33.39,222,119,4831.96
2020-03-30,Sur,C,42.75,73.06,203,111,6033.27
2020-03-31,Occidente,B,59.94,141.67,206,120,8789.31
2020-04-01,Occidente,D,51.57,186.01,197,132,7759.34
2020-04-02,Sur,D,45.52,135.61,225,106,6804.97
2020-04-03,Sur,C,44.66,137.9,200,111,6066.1
2020-04-04,Sur,D,45.82,27.56,175,126,6092.18
2020-04-05,Sur,D,51.61,216.11,199,135,8013.22
2020-04-06,Sur,D,37.99,5.4,212,102,4767.21
2020-04-07,Occidente,D,61.24,77.71,195,119,8779.97
2020-04-08,Sur,D,38.52,9.26,201,126,5669.9
2020-04-09,Norte,D,32.73,91.85,181,130,4771.56
2020-04-10,Centro,B,59.91,4.84,209,106,8542.44
2020-04-11,Sur,A,45.63,102.42,178,118,6695.62
2020-04-12,Sur,C,50.7,3.43,186,123,7107.89
2020-04-13,Occidente,A,56.55,18.05,205,125,8439.89
2020-04-14,Sur,C,42.81,139.99,186,101,5285.23
2020-04-15,Sur,A,51.37,36.06,180,124,7586.29
2020-04-16,Sur,C,56.48,215.52,212,117,8249.49
2020-04-17,Occidente,D,66.43,10.33,197,97,8372.52
2020-04-18,Sur,A,44.89,75.62,222,92,5920.25
2020-04-19,Centro,A,45.37,260.09,203,101,5891.65
2020-04-20,Occidente,C,55.63,53.3,210,117,8132.5
2020-04-21,Centro,C,52.09,39.72,176,126,7089.97
2020-04-22,Occidente,B,48.63,338.08,196,128,7531.45
2020-04-23,Sur,D,65.93,55.2,214,107,8935.14
2020-04-24,Centro,D,33.18,120.01,190,109,4266.18
2020-04-25,Occidente,B,35.78,252.5,189,121,5220.61
2020-04-26,Norte,C,33.29,1.08,199,121,4573.91
2020-04-27,Sur,D,62.02,84.25,218,124,9529.92
2020-04-28,Occidente,C,55.15,124.98,193,117,7775.15
2020-04-29,Norte,D,36.29,54.3,210,106,4973.54
2020-04-30,Occidente,A,48.77,111.76,188,125,6538.73
2020-05-01,Norte,A,49.72,164.2,200,117,7058.6
2020-05-02,Sur,D,27.91,37.92,197,122,4069.04
2020-05-03,Centro,D,51.88,39.03,202,116,7422.13
2020-05-04,Norte,D,38.22,9.19,199,128,5389.85
2020-05-05,Occidente,B,57.07,310.16,183,123,8302.3
2020-05-06,Sur,D,38.53,3.35,193,107,4928.69
2020-05-07,Norte,B,52.19,63.62,208,125,7705.67
2020-05-08,Occidente,B,62.95,76.11,184,135,9045.27
2020-05-09,Occidente,A,59.75,15.21,197,110,8049.27
2020-05-10,Occidente,D,55.07,67.34,215,114,8018.13
2020-05-11,Norte,A,49.19,34.92,214,140,8357.97
2020-05-12,Norte,A,35.0,162.23,200,104,4446.79
2020-05-13,Norte,B,45.61,173.23,197,126,6573.12
2020-05-14,Centro,C,47.74,56.7,195,107,6609.61
2020-05-15,Norte,B,47.02,57.0,209,125,7528.81
2020-05-16,Norte,A,34.66,7.89,201,109,4793.02
2020-05-17,Norte,B,54.34,44.18,202,124,8106.11
2020-05-18,Centro,B,38.19,52.02,211,115,5476.24
2020-05-19,Norte,B,65.46,59.17,187,118,9235.15
2020-05-20,Occidente,D,51.48,60.31,215,113,7389.5
2020-05-21,Norte,B,59.79,9.67,227,120,9239.4
2020-05-22,Occidente,A,59.59,17.8,246,114,9361.22
2020-05-23,Occidente,B,70.78,56.89,190,121,9947.21
2020-05-24,Occidente,D,51.82,47.54,180,119,7164.38
2020-05-25,Centro,A,46.1,15.36,227,104,6608.24
2020-05-26,Centro,B,46.29,104.6,208,121,6890.9
2020-05-27,Centro,A,64.96,12.52,206,117,9183.94
2020-05-28,Norte,D,36.8,0.52,211,135,5893.48
2020-05-29,Occidente,C,41.22,94.83,207,115,6043.14
2020-05-30,Centro,D,52.37,8.64,192,128,7667.13
2020-05-31,Centro,D,48.47,6.24,203,101,6510.03
2020-06-01,Norte,A,59.68,8.97,199,134,9098.7
2020-06-02,Centro,A,36.61,275.43,191,136,6035.59
2020-06-03,Norte,C,49.33,11.13,184,129,7192.48
2020-06-04,Sur,C,48.13,182.66,207,126,7601.52
2020-06-05,Centro,C,39.28,149.87,204,122,5477.47
2020-06-06,Sur,D,58.79,184.01,204,126,9146.78
2020-06-07,Norte,D,49.08,92.94,211,120,7393.94
2020-06-08,Occidente,C,48.66,16.85,189,121,7080.12
2020-06-09,Centro,C,41.75,147.36,206,106,5602.27
2020-06-10,Norte,C,46.3,83.35,180,115,6269.6
2020-06-11,Occidente,B,39.78,84.01,216,108,5670.18
2020-06-12,Occidente,B,58.64,93.85,195,117,8212.18
2020-06-13,Sur,C,60.33,16.06,172,108,7559.94
2020-06-14,Norte,D,66.8,34.46,215,110,9495.6
2020-06-15,Occidente,A,54.34,503.5,166,121,7488.08
2020-06-16,Centro,D,46.61,206.73,210,130,7389.21
2020-06-17,Centro,A,45.31,44.51,217,142,7483.74
2020-06-18,Sur,C,54.91,430.78,193,133,8598.07
2020-06-19,Occidente,B,52.01,7.22,213,129,7944.62
2020-06-20,Norte,B,48.26,42.9,207,106,6448.35
2020-06-21,Centro,A,47.38,81.01,200,136,7652.42
2020-06-22,Occidente,C,61.71,97.01,184,134,9390.32
2020-06-23,Occidente,B,45.68,163.56,205,108,6111.38
2020-06-24,Sur,C,63.47,133.43,211,139,10047.96
2020-06-25,Centro,C,51.82,116.48,209,129,8201.12
2020-06-26,Centro,A,46.32,366.35,197,115,6681.08
2020-06-27,Norte,C,42.15,91.22,184,98,5206.17
2020-06-28,Centro,C,48.45,0.66,206,116,6396.0
2020-06-29,Norte,A,55.03,95.91,222,125,8211.29
